07/24 21:16:16.028 Normal:  Status: 0 bytes downloaded (0.000% complete) current rate:        /s
07/24 21:16:21.040 Normal:  Status: 8.47 MB downloaded (0.005% complete) current rate:  2.51 MB/s
07/24 21:16:26.072 Normal:  Status: 49.4 MB downloaded (0.028% complete) current rate:  25.5 MB/s
07/24 21:16:31.088 Normal:  Status:  321 MB downloaded (0.179% complete) current rate:  36.4 MB/s
07/24 21:16:36.131 Normal:  Status:  482 MB downloaded (0.269% complete) current rate:  36.4 MB/s
07/24 21:19:12.299 Normal:  Status:  532 MB downloaded (0.297% complete) current rate:  26.7 MB/s
07/24 21:19:17.897 Normal:  Status:  559 MB downloaded (0.312% complete) current rate:  13.9 MB/s
07/24 21:19:22.943 Normal:  Status:  620 MB downloaded (0.346% complete) current rate:  18.9 MB/s
07/24 21:19:27.985 Normal:  Status:  620 MB downloaded (0.346% complete) current rate:  28.2 MB/s
07/24 21:19:33.027 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  41.5 MB/s
07/24 21:19:38.053 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  39.5 MB/s
07/24 21:19:43.115 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  27.1 MB/s
07/24 21:19:48.121 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  21.8 MB/s
07/24 21:19:53.149 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  22.8 MB/s
07/24 21:19:58.153 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  23.5 MB/s
07/24 21:20:03.173 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  30.2 MB/s
07/24 21:20:08.204 Normal:  Status:  621 MB downloaded (0.347% complete) current rate:  40.3 MB/s
07/24 21:20:13.263 Normal:  Status:  659 MB downloaded (0.368% complete) current rate:  44.9 MB/s
07/24 21:20:18.314 Normal:  Status:  733 MB downloaded (0.409% complete) current rate:  37.2 MB/s
07/24 21:20:23.553 Normal:  Status:  753 MB downloaded (0.420% complete) current rate:  33.2 MB/s
07/24 21:20:28.466 Normal:  Status:  814 MB downloaded (0.454% complete) current rate:  25.2 MB/s
07/24 21:20:33.518 Normal:  Status:  833 MB downloaded (0.465% complete) current rate:  25.7 MB/s
07/24 21:20:38.549 Normal:  Status:  858 MB downloaded (0.479% complete) current rate:  36.7 MB/s
07/24 21:20:43.603 Normal:  Status:  873 MB downloaded (0.487% complete) current rate:  39.1 MB/s
07/24 21:20:48.621 Normal:  Status:  873 MB downloaded (0.487% complete) current rate:  38.4 MB/s
07/24 21:20:53.662 Normal:  Status:  931 MB downloaded (0.519% complete) current rate:  39.3 MB/s
07/24 21:20:58.666 Normal:  Status:  966 MB downloaded (0.539% complete) current rate:  40.8 MB/s
07/24 21:21:03.680 Normal:  Status:  966 MB downloaded (0.539% complete) current rate:  42.9 MB/s
07/24 21:21:08.688 Normal:  Status: 1.06 GB downloaded (0.591% complete) current rate:  41.7 MB/s
07/24 21:21:13.748 Normal:  Status: 1.09 GB downloaded (0.611% complete) current rate:  41.7 MB/s
07/24 21:21:18.766 Normal:  Status: 1.13 GB downloaded (0.631% complete) current rate:  37.9 MB/s
07/24 21:21:23.797 Normal:  Status: 1.14 GB downloaded (0.641% complete) current rate:  41.2 MB/s
07/24 21:21:28.783 Normal:  Status: 1.21 GB downloaded (0.678% complete) current rate:  34.7 MB/s
07/24 21:21:33.840 Normal:  Status: 1.21 GB downloaded (0.678% complete) current rate:  30.2 MB/s
